line,fault_node,fault_type,fault_R,monitor_node,Ia_base,Ib_base,Ic_base,Va_base,Vb_base,Vc_base,Ia_fault,Ib_fault,Ic_fault,Va_fault,Vb_fault,Vc_fault
SP,SP-0001,6,5,SP-0001,302.364044446704,354.069957528813,309.568696548171,5536.1264992674,5890.18759177985,5233.88701113753,1172.29466209029,317.815547907705,1146.91328493252,4949.65504265835,5116.17415117581,5778.79557692546
SP,SP-0001,6,5,SP-0002,247.19954753375,292.743224747435,256.969315053949,4838.04026215551,5142.48629391552,4532.79839241078,198.686127369332,257.122353059538,234.494916684431,4405.00821436295,4432.18296004464,4973.22767702779
SP,SP-0001,10,1,SP-0001,302.364044446704,354.069957528813,309.568696548171,5536.1264992674,5890.18759177985,5233.88701113753,3692.30438756288,3334.44122950551,3260.77897941518,3555.3067687501,3130.25124585215,3149.93568689082
SP,SP-0001,10,1,SP-0002,247.19954753375,292.743224747435,256.969315053949,4838.04026215551,5142.48629391552,4532.79839241078,120.573119991524,165.262125243878,118.579683861488,3190.78819691121,2735.1115652104,2756.30461252145
SP,SP-0001,10,5,SP-0001,302.364044446704,354.069957528813,309.568696548171,5536.1264992674,5890.18759177985,5233.88701113753,1344.32533290709,1234.62494398444,1263.28960452497,5405.67978153696,4716.55803680302,5170.19951866064
SP,SP-0001,10,5,SP-0002,247.19954753375,292.743224747435,256.969315053949,4838.04026215551,5142.48629391552,4532.79839241078,217.277840700661,242.607800306304,210.111459518972,4799.91478575823,4108.13606392398,4444.23889178078
SP,SP-0002,4,5,SP-0001,302.364044446704,354.069957528813,309.568696548171,5536.1264992674,5890.18759177985,5233.88701113753,771.61604010344,740.700797370946,280.272933371877,5702.36351814911,4624.32087279878,5777.04789110843
SP,SP-0002,4,5,SP-0002,247.19954753375,292.743224747435,256.969315053949,4838.04026215551,5142.48629391552,4532.79839241078,713.811155424171,691.046999663459,235.842732280619,4478.50325202538,2625.0881646114,4972.57141068293
SP,SP-0002,5,1,SP-0001,302.364044446704,354.069957528813,309.568696548171,5536.1264992674,5890.18759177985,5233.88701113753,323.43772244413,1087.23256939279,932.041034869824,5731.44333789112,4730.3178129181,4791.12969174022
SP,SP-0002,5,1,SP-0002,247.19954753375,292.743224747435,256.969315053949,4838.04026215551,5142.48629391552,4532.79839241078,263.17617524377,1028.80811424911,911.977161538454,5041.38743374715,3112.04936592517,2168.38357141669
SP,SP-0002,5,5,SP-0001,302.364044446704,354.069957528813,309.568696548171,5536.1264992674,5890.18759177985,5233.88701113753,310.924832945175,721.197492772265,648.704018208372,5738.79592884309,5027.01900380661,5235.89989210497
SP,SP-0002,5,5,SP-0002,247.19954753375,292.743224747435,256.969315053949,4838.04026215551,5142.48629391552,4532.79839241078,251.798940749834,661.741401437519,614.856554191122,5080.10774937066,3920.87087373745,3062.54582622098
SP,SP-0002,6,5,SP-0001,302.364044446704,354.069957528813,309.568696548171,5536.1264992674,5890.18759177985,5233.88701113753,723.347161176579,313.609209528729,735.883284909056,5243.40183355904,5118.17621162979,5641.7571199147
SP,SP-0002,6,5,SP-0002,247.19954753375,292.743224747435,256.969315053949,4838.04026215551,5142.48629391552,4532.79839241078,682.531404171495,253.289930175205,693.99291536176,3136.29279230942,4443.16251728068,4096.84797214887
SP,SP-0002,10,1,SP-0001,302.364044446704,354.069957528813,309.568696548171,5536.1264992674,5890.18759177985,5233.88701113753,1339.78311486829,1227.80550754192,1171.49353528209,4833.74122589577,4224.05642652647,4772.52655156718
SP,SP-0002,10,1,SP-0002,247.19954753375,292.743224747435,256.969315053949,4838.04026215551,5142.48629391552,4532.79839241078,1300.02968401037,1178.1439007653,1140.71476643811,1274.56842148737,1077.99001930996,1136.36159684895
SP,SP-0002,10,5,SP-0001,302.364044446704,354.069957528813,309.568696548171,5536.1264992674,5890.18759177985,5233.88701113753,868.520651584198,811.546042652023,773.524596746233,5387.86972242713,4732.41318676159,5326.09353224734
SP,SP-0002,10,5,SP-0002,247.19954753375,292.743224747435,256.969315053949,4838.04026215551,5142.48629391552,4532.79839241078,817.00738096215,754.043995268305,733.999355934639,3354.80456093392,2847.55099410998,3070.38653034517
